date,year,month,site_region,commissioning_date_yyyymm,planned_uptime_in_percent,planned_energy_from_pv_in_kwh,planned_energy_from_hydro_in_kwh,planned_energy_from_dg_in_kwh,planned_total_energy_produced_in_kwh,planned_fuel_consumption_liters,expected_energy_from_pv_in_kwh,actual_irradiation_w2,actual_uptime_in_percent,actual_energy_from_pv_kwh,actual_energy_from_hydro_kwh,actual_energy_from_dg_kwh,actual_total_energy_produced_in_kwh,actual_fuel_consumption_liters,actual_energy_exported_to_dn_kwh,actual_ref,actual_ur,actual_distribution_losses,actual_energy_consumption_kwh
2020-02-04,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,4315,142.07,100,119,0,0,119,0,30,100,1,-100,NA
2020-02-05,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,2916,95.99,100,122,0,0,122,0,40,100,1,-100,NA
2020-02-06,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,4919,161.93,100,202,0,0,202,0,1040,100,19,-100,NA
2020-02-07,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,7743,254.9,100,193,0,0,193,0,940,100,18,-100,NA
2020-02-08,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,7849,258.39,100,217,0,0,217,0,1220,100,23,-100,NA
2020-02-09,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,7784,256.25,100,196,0,0,196,0,1160,100,22,-100,NA
2020-02-10,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,8628,284.06,100,184,0,41,225,0,1130,82,21,-100,NA
2020-02-11,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,7950,261.74,100,207,0,0,207,0,1240,100,23,-100,NA
2020-02-12,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,6789,223.49,100,228,0,0,228,0,1330,100,25,-100,NA
2020-02-13,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,5055,166.43,100,224,0,0,224,0,1390,100,26,-100,NA
2020-02-14,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,4762,156.76,100,250,0,0,250,0,1390,100,26,-100,NA
2020-02-15,2020,2,S1,Feb-2020,100,4095,0,1696,5791,475,3762,123.84,100,230,0,0,230,0,1370,100,26,-100,NA
