Date,Year,Month,Site Region,Commissioning date (YYYY-MM),Planned Uptime (in %),Planned Energy from PV (in kWh),Planned Energy from Hydro (in kWh),Planned Energy from DG (in kWh),Planned Total Energy produced (in kWh),Planned Fuel Consumption (Liters),Expected Energy from PV (in kWh),Actual Irradiation (W/2),Actual Uptime (in %),Actual Energy from PV (kWh),Actual Energy from Hydro (kWh),Actual Energy from DG (kWh),Actual Total Energy produced (in kWh),Actual Fuel Consumption (Liters),Actual Energy Exported to DN (KWh),Actual REF (%),Actual UR (%),Actual Distribution losses (%),Actual Energy Consumption (kWh)
02/04/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,315",142.07,100.00%,119,0,0,119,0,30,100%,1%,-100%,
02/05/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,916",95.99,100.00%,122,0,0,122,0,40,100%,1%,-100%,
02/06/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,919",161.93,100.00%,202,0,0,202,0,1040,100%,19%,-100%,
02/07/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,743",254.90,100.00%,193,0,0,193,0,940,100%,18%,-100%,
02/08/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,849",258.39,100.00%,217,0,0,217,0,1220,100%,23%,-100%,
02/09/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,784",256.25,100.00%,196,0,0,196,0,1160,100%,22%,-100%,
02/10/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,628",284.06,100.00%,184,0,41,225,0,1130,82%,21%,-100%,
02/11/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,950",261.74,100.00%,207,0,0,207,0,1240,100%,23%,-100%,
02/12/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,789",223.49,100.00%,228,0,0,228,0,1330,100%,25%,-100%,
02/13/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,055",166.43,100.00%,224,0,0,224,0,1390,100%,26%,-100%,
02/14/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,762",156.76,100.00%,250,0,0,250,0,1390,100%,26%,-100%,
02/15/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,762",123.84,100.00%,230,0,0,230,0,1370,100%,26%,-100%,
02/16/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,613",184.78,100.00%,239,0,0,239,0,1480,100%,28%,-100%,
02/17/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,006",263.56,100.00%,233,0,0,233,0,1430,100%,27%,-100%,
02/18/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,334",142.69,100.00%,221,0,0,221,0,1190,100%,22%,-100%,
02/19/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,303",174.59,100.00%,186,0,0,186,0,830,100%,16%,-100%,
02/20/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,932",129.46,100.00%,215,0,0,215,0,1260,100%,24%,-100%,
02/21/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,399",177.76,100.00%,231,0,0,231,0,1280,100%,24%,-100%,
02/22/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,616",217.80,100.00%,163,0,0,163,0,760,100%,14%,-100%,
02/23/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,462",179.83,100.00%,236,0,0,236,0,1340,100%,25%,-100%,
02/24/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,787",58.83,100.00%,222,0,0,222,0,1280,100%,24%,-100%,
02/25/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,366",209.58,100.00%,236,0,0,236,0,1360,100%,25%,-100%,
02/26/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,779",256.10,100.00%,232,0,0,232,0,1340,100%,25%,-100%,
02/27/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,541",116.58,100.00%,230,0,0,230,0,1310,100%,25%,-100%,
02/28/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,767",58.18,100.00%,220,0,0,220,0,1230,100%,23%,-100%,
02/29/2020,2020,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,823",224.61,100.00%,239,0,0,239,0,1380,100%,26%,-100%,
03/01/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,271",272.30,100.00%,214,0,0,214,0,1310,100%,25%,-100%,
03/02/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,459",146.81,100.00%,207,0,0,207,0,1000,100%,19%,-100%,
03/03/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,822",125.83,100.00%,252,0,0,252,0,1510,100%,28%,-100%,
03/04/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,402",144.93,100.00%,192,0,265.2,457.2,60,7521,42%,141%,-100%,
03/05/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,098",134.92,100.00%,250,0,0,250,0,157,100%,3%,-100%,
03/06/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,019",165.23,100.00%,276,0,0,276,0,159,100%,3%,-100%,
03/07/2020,2020,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,804",256.93,100.00%,218,0,1,219,0,136,100%,3%,-100%,
